Description	Chr	Start	End	Length	Min Depth	Max Depth	Average Depth
DDX1_ex	chr2	15760345	15760498	154	1159	1789	1567.67
MYCN_ex	chr2	16082505	16082642	138	65	178	134.891
ALK_ex	chr2	29416068	29416797	730	1232	3205	2559.4
ALK_ex_2	chr2	29419608	29419751	144	1181	1786	1581.83
ALK_ex_3	chr2	29420373	29420567	195	1463	2301	1992.08
ALK_ex_4	chr2	29430003	29430159	157	1088	1687	1474.9
ALK_ex_5	chr2	29432613	29432759	147	1320	1790	1606.13
ALK_ex_6	chr2	29436818	29436971	154	1052	1569	1366.88
ALK_ex_7	chr2	29443538	29443734	197	1079	1991	1619.55
ALK_ex_8	chr2	29445168	29445304	137	1414	1990	1804.83
ALK_ex_9	chr2	29445348	29445487	140	1018	1743	1455.32
ALK_ex_10	chr2	29446178	29446811	634	1404	3086	2565.69
ALK_ex_11	chr2	29446818	29448463	1646	1865	3343	2790.89
SLC8A1_ex	chr2	40655614	40657081	1468	886	3010	2465.15
SLC8A1_ex_2	chr2	40657084	40657440	357	1552	2882	2483.91
LRRTM4_ex	chr2	77745452	77746964	1513	1265	3363	2761.66
REG3A_ex	chr2	79384672	79384750	79	771	969	895.835
REG3A_ex_2	chr2	79384762	79384840	79	533	904	746.924
REG3A_ex_3	chr2	79385437	79385543	107	1209	1590	1454.54
CTNNA2_ex	chr2	80085113	80085323	211	1273	2338	1918.53
CTNNA2_ex_2	chr2	80101198	80101492	295	733	2022	1633.58
CTNNA2_ex_3	chr2	80136708	80136972	265	705	1397	1125.82
LRRTM1_ex	chr2	80529410	80530860	1451	706	3008	2295.25
ST6GAL2_ex	chr2	107423111	107423415	305	1033	2437	1943.11
CNTNAP5_ex	chr2	125261856	125262161	306	989	2104	1681.9
LRP1B_ex	chr2	141242897	141243115	219	1159	2171	1791.82
LRP1B_ex_2	chr2	141665412	141665650	239	707	1323	1116.11
KCNJ3_ex	chr2	155711255	155711854	600	1279	2535	2213.73
NFE2L2_ex	chr2	178095482	178096587	1106	1424	3214	2735.91
NFE2L2_ex_2	chr2	178096587	178096759	173	1727	2914	2513.73
NFE2L2_ex_3	chr2	178097127	178097309	183	1580	2518	2178.7
NFE2L2_ex_4	chr2	178097952	178098091	140	943	1336	1187.54
NFE2L2_ex_5	chr2	178098702	178099022	321	1050	2958	2236.81
SF3B1_ex	chr2	198267256	198267583	328	507	2156	1566.56
ERBB4_ex	chr2	212286709	212286845	137	1172	1584	1417.91
ERBB4_ex_2	chr2	212288844	212289051	208	1278	2234	1859.38
ERBB4_ex_3	chr2	212293094	212293234	141	1232	1698	1517.38
ERBB4_ex_4	chr2	212295644	212295847	204	923	2209	1765.94
ERBB4_ex_5	chr2	212426604	212426850	247	1276	2293	1902.89
ERBB4_ex_6	chr2	212483874	212484009	136	1065	1701	1496.71
ERBB4_ex_7	chr2	212488614	212488802	189	957	2166	1728.4
CUL3_ex	chr2	225338940	225339104	165	1355	2085	1844.36
CUL3_ex_2	chr2	225342895	225343098	204	1225	2157	1826.22
CUL3_ex_3	chr2	225346585	225346828	244	1484	2561	2163.53
CUL3_ex_4	chr2	225360525	225360695	171	1254	2323	1979.32
CUL3_ex_5	chr2	225362445	225362591	147	1431	2228	1978.17
CUL3_ex_6	chr2	225365045	225365224	180	1499	2315	1985.49
CUL3_ex_7	chr2	225367655	225367800	146	1402	1956	1720.38
CUL3_ex_8	chr2	225368335	225368547	213	1144	1990	1698.6
CUL3_ex_9	chr2	225370650	225370855	206	1332	2412	1991.34
CUL3_ex_10	chr2	225371545	225371754	210	1416	2195	1901.58
CUL3_ex_11	chr2	225376050	225376300	251	1298	2245	1862.46
CUL3_ex_12	chr2	225378220	225378390	171	945	1723	1468.54
CUL3_ex_13	chr2	225379295	225379508	214	1339	2472	2047.27
CUL3_ex_14	chr2	225400220	225400397	178	870	2119	1676.11
CUL3_ex_15	chr2	225422350	225422599	250	286	2289	1537.16
CUL3_ex_16	chr2	225449620	225449754	135	745	1111	963.815
ASB18_ex	chr2	237172815	237172971	157	1136	1688	1463.46
RAF1_ex	chr3	12625987	12626199	213	1664	2751	2317.38
RAF1_ex_2	chr3	12632272	12632487	216	997	2088	1722.81
RAF1_ex_3	chr3	12633172	12633310	139	1409	2205	1937.81
MYD88_ex	chr3	38182589	38182802	214	942	2553	2018.62
CTNNB1_ex	chr3	41266046	41266203	158	1314	1840	1632.94
FOXP1_ex	chr3	71015043	71015201	159	1667	2279	2052.65
PDZRN3_ex	chr3	73432596	73433959	1364	1058	3003	2258.02
ROBO1_ex	chr3	78766421	78766566	146	1175	1789	1586.46
ZIC4_ex	chr3	147108706	147109059	354	700	1639	1304.94
ZIC4_ex_2	chr3	147113616	147114276	661	1477	2696	2109.1
ZIC1_ex	chr3	147127941	147128721	781	915	2497	1752.45
ZIC1_ex_2	chr3	147128786	147128884	99	1571	2237	1892.13
IQCJ_ex	chr3	158982995	158983175	181	1659	2540	2187.76
MECOM_ex	chr3	168840358	168840506	149	1197	1720	1540.35
MYNN_ex	chr3	169501222	169501373	152	1418	2168	1905.01
SAMD7_ex	chr3	169646232	169646375	144	1456	2069	1813.14
PHC3_ex	chr3	169896647	169896721	75	1305	1652	1546.64
CLDN11_ex	chr3	170140951	170141100	150	1136	1788	1568.47
SLC2A2_ex	chr3	170716001	170716143	143	1061	1570	1378.88
PIK3CA_ex	chr3	178916514	178916999	486	1387	2986	2436.25
PIK3CA_ex_2	chr3	178921304	178921594	291	1370	2665	2223.92
PIK3CA_ex_3	chr3	178927964	178928132	169	1237	2332	1946.72
PIK3CA_ex_4	chr3	178935989	178936159	171	1057	1711	1491.66
PIK3CA_ex_5	chr3	178951854	178952172	319	1235	2337	1971.14
SOX2_ex	chr3	181430124	181430303	180	366	1507	948.678
SOX2_ex_2	chr3	181430354	181430630	277	1325	2591	2080.23
SOX2_ex_3	chr3	181430674	181430922	249	1312	1864	1650.06
SOX2_ex_4	chr3	181430929	181431073	145	876	1672	1331.22
ATP11B_ex	chr3	182584062	182584219	158	754	1196	1024.7
MCCC1_ex	chr3	182733212	182733363	152	1352	2036	1768.02
MCF2L2_ex	chr3	183014776	183014924	149	1368	2011	1777.29
KLHL6_ex	chr3	183273223	183273359	137	1518	2112	1872.23
HTR3E_ex	chr3	183818283	183818415	133	1342	1874	1673.59
TP63_ex	chr3	189455494	189455678	185	1175	1869	1597.28
TP63_ex_2	chr3	189526039	189526349	311	955	2062	1700.23
TP63_ex_3	chr3	189586344	189586525	182	1201	1956	1681.04
GABRA2_ex	chr4	46252300	46252618	319	1402	2876	2318.4
FRYL_ex	chr4	48622620	48622811	192	1639	2608	2250.74
PDGFRA_ex	chr4	55139671	55139926	256	1224	2184	1834.83
PDGFRA_ex_2	chr4	55140661	55140810	150	1388	2158	1883.28
PDGFRA_ex_3	chr4	55140976	55141165	190	1684	2332	2065.28
PDGFRA_ex_4	chr4	55143521	55143671	151	1892	2839	2525.62
PDGFRA_ex_5	chr4	55144041	55144214	174	1165	1795	1571.79
PDGFRA_ex_6	chr4	55144496	55144724	229	1339	2310	1978.71
PDGFRA_ex_7	chr4	55146461	55146680	220	402	1683	1247.6
PDGFRA_ex_8	chr4	55151506	55151679	174	1625	2591	2258.09
PDGFRA_ex_9	chr4	55151986	55152174	189	338	1622	1150.44
PDGFRA_ex_10	chr4	55153571	55153751	181	1252	1915	1656.38
PDGFRA_ex_11	chr4	55154941	55155077	137	1278	1931	1706.55
PDGFRA_ex_12	chr4	55155151	55155322	172	2117	2921	2599.44
KIT_ex	chr4	55592001	55592232	232	1397	2623	2183.12
KIT_ex_2	chr4	55593361	55593499	139	1565	2478	2115.29
KIT_ex_3	chr4	55593551	55593724	174	1716	2657	2372.41
KIT_ex_4	chr4	55593961	55594111	151	1597	2399	2178.68
KIT_ex_5	chr4	55594151	55594327	177	1698	2541	2283.64
KIT_ex_6	chr4	55595471	55595693	223	1025	1885	1597.48
KIT_ex_7	chr4	55597456	55597604	149	1110	1740	1516.64
KIT_ex_8	chr4	55598001	55598189	189	856	2538	1907.79
KIT_ex_9	chr4	55599211	55599391	181	1149	1769	1546.97
KIT_ex_10	chr4	55602631	55602806	176	1654	2719	2375.88
KIT_ex_11	chr4	55602856	55602999	144	1265	2131	1751.25
KIT_ex_12	chr4	55603311	55603491	181	1230	1839	1667.99
KDR_ex	chr4	55955013	55955154	142	1340	1892	1652.72
KDR_ex_2	chr4	55962373	55962551	179	1198	1941	1696.42
KDR_ex_3	chr4	55964278	55964468	191	1119	1771	1511.62
FBXW7_ex	chr4	153247190	153247405	216	1133	2081	1762.19
MARCH1_ex	chr4	164534436	164534688	253	1521	2989	2406.86
TRIP13_ex	chr5	917097	917247	151	1164	1680	1485.86
NKD2_ex	chr5	1034312	1034466	155	1379	2168	1884.45
SLC6A19_ex	chr5	1216902	1217054	153	918	1656	1409.6
TERT_ex	chr5	1295072	1295271	200	42	132	96.5
FBXL7_ex	chr5	15927993	15928621	629	977	2654	1906.69
CDH18_ex	chr5	19473429	19473853	425	1390	2854	2379.06
CDH12_ex	chr5	21751830	21752361	532	1250	3419	2610.42
CDH12_ex_2	chr5	22078530	22078784	255	1472	2849	2364.01
CDH9_ex	chr5	26881229	26881749	521	1665	3178	2658.41
CDH9_ex_2	chr5	26906034	26906250	217	1420	2683	2230.16
CDH9_ex_3	chr5	26915729	26916048	320	1315	2745	2236.89
ADAMTS12_ex	chr5	33576138	33577189	1052	1925	3630	3195.14
ADAMTS12_ex_2	chr5	33683948	33684170	223	1050	1721	1461.86
SLC45A2_ex	chr5	33947248	33947491	244	1792	2913	2520.87
UGT3A2_ex	chr5	36037928	36038001	74	1255	1604	1504.77
UGT3A2_ex_2	chr5	36038013	36038091	79	1014	1549	1336.73
SKP2_ex	chr5	36183948	36184102	155	1340	2231	1957.7
SLC1A3_ex	chr5	36679773	36679913	141	1287	2141	1825.75
NUP155_ex	chr5	37370928	37371073	146	765	1203	1027.34
EGFLAM_ex	chr5	38352293	38352437	145	1210	1895	1667.06
C9_ex	chr5	39306733	39306870	138	1270	1789	1601.25
HCN1_ex	chr5	45262028	45262905	878	1527	3034	2617.78
HCN1_ex_2	chr5	45267168	45267374	207	1689	2814	2397.55
HCN1_ex_3	chr5	45353198	45353353	156	1131	1690	1479.35
HTR1A_ex	chr5	63256324	63257490	1167	1022	2840	2162.2
HAPLN1_ex	chr5	82937302	82937528	227	577	1031	862.537
FBN2_ex	chr5	127648290	127648512	223	1189	2115	1757.37
PDGFRB_ex	chr5	149498288	149498434	147	1336	1927	1712.46
PDGFRB_ex_2	chr5	149499008	149499153	146	1358	2110	1790.1
PDGFRB_ex_3	chr5	149499553	149499723	171	1749	2651	2300.5
PDGFRB_ex_4	chr5	149500428	149500605	178	1317	2069	1805.36
PDGFRB_ex_5	chr5	149500738	149500927	190	1202	1849	1577.04
PDGFRB_ex_6	chr5	149501418	149501626	209	1265	2464	2015.13
PDGFRB_ex_7	chr5	149502573	149502798	226	1479	2849	2330.35
PDGFRB_ex_8	chr5	149503788	149503961	174	1333	2011	1754.35
PDGFRB_ex_9	chr5	149504258	149504418	161	430	801	672.224
PDGFRB_ex_10	chr5	149504978	149505164	187	818	1440	1193.85
GABRA6_ex	chr5	161128482	161128768	287	934	2187	1729.63
SLIT3_ex	chr5	168134946	168135167	222	1261	2325	1899.18
ROS1_ex	chr6	117609633	117609983	351	1068	2090	1721.1
ROS1_ex_2	chr6	117622113	117622313	201	1300	2497	2049.48
ROS1_ex_3	chr6	117629933	117630106	174	1239	2139	1835.24
ROS1_ex_4	chr6	117631223	117631463	241	1318	2266	1933.19
ROS1_ex_5	chr6	117632148	117632288	141	1390	1984	1776.38
ROS1_ex_6	chr6	117638273	117638470	198	1192	1805	1548.86
ROS1_ex_7	chr6	117639298	117639453	156	1181	1648	1479.67
ROS1_ex_8	chr6	117641008	117641428	421	1308	3097	2494.32
ROS1_ex_9	chr6	117641438	117642993	1556	433	2868	2366.44
ROS1_ex_10	chr6	117645158	117646127	970	2028	3079	2554.12
ROS1_ex_11	chr6	117647288	117648778	1491	641	3111	2547.36
ROS1_ex_12	chr6	117648943	117650620	1678	2062	3176	2719.19
ROS1_ex_13	chr6	117657883	117658535	653	1000	2714	2206.48
PARK2_ex	chr6	161969889	161970031	143	634	871	773.301
PACRG_ex	chr6	163149267	163149420	154	1113	1778	1555.49
C6orf118_ex	chr6	165715051	165715324	274	1095	2409	2034.68
C6orf118_ex_2	chr6	165715336	165715696	361	1872	3119	2664.04
HDAC9_ex	chr7	18705854	18706045	192	1370	2301	1999.12
POM121L12_ex	chr7	53103391	53104267	877	1108	2613	2044.38
VSTM2A_ex	chr7	54617611	54617769	159	826	1422	1241
EGFR_ex	chr7	55241591	55241759	169	1405	2076	1830.53
EGFR_ex_2	chr7	55242381	55242526	146	1480	2278	1993.93
EGFR_ex_3	chr7	55248951	55249200	250	1399	2191	1937.59
EGFR_ex_4	chr7	55259376	55259601	226	1490	2678	2264.8
EGFR_ex_5	chr7	55260416	55260574	159	1093	1684	1480.64
EGFR_ex_6	chr7	55266386	55266601	216	1409	2373	2017.9
EGFR_ex_7	chr7	55267986	55268123	138	1698	2265	2012.85
LANCL2_ex	chr7	55492961	55493101	141	1793	2540	2261.69
ZNF713_ex	chr7	55990836	55990988	153	1495	2178	1921.52
ZAN_ex	chr7	100385525	100385744	220	640	1296	1051.05
MET_ex	chr7	116411893	116412071	179	1882	2935	2513.65
MET_ex_2	chr7	116417408	116417550	143	1764	2483	2222.8
MET_ex_3	chr7	116418808	116419051	244	1708	2782	2400.2
MET_ex_4	chr7	116422018	116422192	175	987	1494	1286.22
MET_ex_5	chr7	116423323	116423536	214	1955	2826	2499.9
MET_ex_6	chr7	116435673	116435857	185	1161	2529	2045.37
MET_ex_7	chr7	116435918	116436202	285	1602	2986	2564.97
KCND2_ex	chr7	119914661	119915728	1068	1085	3127	2411.13
GRM8_ex	chr7	126172979	126173946	968	1058	3066	2653.78
CHRM2_ex	chr7	136699601	136701045	1445	1402	3412	2822.58
BRAF_ex	chr7	140434372	140434446	75	997	1434	1241.09
BRAF_ex_2	chr7	140434482	140434561	80	407	1140	759.725
BRAF_ex_3	chr7	140439682	140439757	76	614	740	690.039
BRAF_ex_4	chr7	140449052	140449119	68	878	1177	1041.75
BRAF_ex_5	chr7	140449177	140449255	79	668	1062	884.734
BRAF_ex_6	chr7	140453047	140453225	179	921	1445	1243.85
BRAF_ex_7	chr7	140453937	140454069	133	1332	2018	1794.26
BRAF_ex_8	chr7	140476747	140476828	82	934	1513	1256.66
BRAF_ex_9	chr7	140476842	140476919	78	1078	1533	1370.92
BRAF_ex_10	chr7	140477762	140477913	152	1249	1974	1745.54
BRAF_ex_11	chr7	140481379	140481507	129	325	471	416.798
CNTNAP2_ex	chr7	146829378	146829605	228	1183	2193	1809.82
CSMD1_ex	chr8	2855544	2855681	138	1047	1511	1330.53
SGCZ_ex	chr8	13959864	13960019	156	863	1433	1222.69
LPL_ex	chr8	19809280	19809487	208	1844	2572	2305.14
WHSC1L1_ex	chr8	38173423	38173569	147	1178	1724	1518.87
FGFR1_ex	chr8	38271413	38271567	155	977	1541	1396.48
FGFR1_ex_2	chr8	38271643	38271843	201	1175	1972	1696.33
FGFR1_ex_3	chr8	38272033	38272174	142	1068	1476	1311.89
FGFR1_ex_4	chr8	38272268	38272446	179	1394	2282	2001.75
FGFR1_ex_5	chr8	38273358	38273606	249	981	2301	1809.63
FGFR1_ex_6	chr8	38274798	38274969	172	899	1446	1258.61
FGFR1_ex_7	chr8	38275353	38275526	174	1017	1761	1501.91
DCAF4L2_ex	chr8	88885057	88885301	245	1734	2703	2371.14
DCAF4L2_ex_2	chr8	88885302	88885455	154	1298	2073	1660.49
DCAF4L2_ex_3	chr8	88885462	88885546	85	1235	1501	1364.85
DCAF4L2_ex_4	chr8	88885557	88886235	679	1345	3161	2477.91
CSMD3_ex	chr8	113256609	113256816	208	1404	2392	2022.51
CSMD3_ex_2	chr8	113301569	113301781	213	1083	2141	1761.82
CSMD3_ex_3	chr8	113304734	113304955	222	1268	2128	1780.21
CSMD3_ex_4	chr8	113568979	113569192	214	1208	2163	1810.61
CSMD3_ex_5	chr8	113694634	113694887	254	1197	2132	1823.35
CSMD3_ex_6	chr8	113697629	113697972	344	1578	2555	2247.99
MYC_ex	chr8	128750807	128750953	147	1210	2011	1710.54
TG_ex	chr8	133905914	133906161	248	1709	2929	2443.13
FAM135B_ex	chr8	139151207	139151354	148	987	1799	1539.33
FAM135B_ex_2	chr8	139163432	139165467	2036	481	3098	2465.07
COL22A1_ex	chr8	139606232	139606449	218	786	1544	1282.95
PTPRD_ex	chr9	8528610	8528754	145	1340	2064	1742.37
CDKN2A_ex	chr9	21968154	21968293	140	859	2074	1649.66
CDKN2A_ex_2	chr9	21968669	21968817	149	1070	1547	1351.83
CDKN2A_ex_3	chr9	21970869	21971023	155	638	842	743.832
CDKN2A_ex_4	chr9	21971074	21971146	73	388	633	556.384
CDKN2A_ex_5	chr9	21974444	21974836	393	610	2610	1799.85
ASTN2_ex	chr9	119976629	119976988	360	1164	2732	2115.35
ABL1_ex	chr9	133738125	133738431	307	1587	2774	2388.99
ABL1_ex_2	chr9	133747485	133747622	138	1434	2005	1791.67
ABL1_ex_3	chr9	133748215	133748439	225	1261	2479	2037.11
ABL1_ex_4	chr9	133750230	133750477	248	1693	2544	2244.35
ABL1_ex_5	chr9	133753770	133753998	229	1417	2421	2068.93
ABL1_ex_6	chr9	133755415	133755561	147	1519	2147	1876.84
NOTCH1_ex	chr9	139390492	139392023	1532	917	2651	2181.73
NOTCH1_ex_2	chr9	139396697	139396976	280	476	1444	1066.25
NOTCH1_ex_3	chr9	139397602	139397822	221	1059	2054	1704.73
NOTCH1_ex_4	chr9	139399092	139399590	499	602	1548	1237.78
RET_ex	chr10	43606627	43609247	2621	1559	3404	2687.56
RET_ex_2	chr10	43609672	43612193	2522	1249	3327	2504.5
RET_ex_3	chr10	43613787	43613935	149	677	975	868.188
RET_ex_4	chr10	43614952	43615241	290	862	1763	1387.3
RET_ex_5	chr10	43615497	43615675	179	1458	2545	2171.5
RET_ex_6	chr10	43617347	43617495	149	1596	2304	2050.58
RET_ex_7	chr10	43619092	43619274	183	1529	2246	1962.66
RET_ex_8	chr10	43620297	43620443	147	1500	2301	2040.47
GRID1_ex	chr10	87628744	87628948	205	1633	2811	2373.04
PTEN_ex	chr10	89624272	89624350	79	1200	1439	1325.09
PTEN_ex_2	chr10	89653752	89653825	74	675	1054	896.892
PTEN_ex_3	chr10	89653832	89653909	78	864	1146	1038.87
PTEN_ex_4	chr10	89685272	89685376	105	829	1080	992.657
PTEN_ex_5	chr10	89690752	89690894	143	892	1834	1455.31
PTEN_ex_6	chr10	89692737	89692810	74	739	1146	941.419
PTEN_ex_7	chr10	89692877	89692951	75	1459	1753	1652.67
PTEN_ex_8	chr10	89692972	89693037	66	1218	1727	1510.7
PTEN_ex_9	chr10	89711887	89711966	80	771	960	900.013
PTEN_ex_10	chr10	89717577	89717776	200	805	1644	1338.56
PTEN_ex_11	chr10	89720642	89720880	239	223	1844	1263.13
PTEN_ex_12	chr10	89725022	89725169	148	861	1252	1111.59
FGFR2_ex	chr10	123243190	123243329	140	1303	1992	1776.59
FGFR2_ex_2	chr10	123244880	123245060	181	1462	2334	2051.22
FGFR2_ex_3	chr10	123246830	123246966	137	905	1403	1223.45
FGFR2_ex_4	chr10	123247475	123247652	178	1307	1994	1707.97
FGFR2_ex_5	chr10	123256010	123256272	263	1122	2419	1950.51
FGFR2_ex_6	chr10	123257975	123258163	189	774	1572	1303.4
FGFR2_ex_7	chr10	123260315	123260496	182	1086	1759	1520.55
HRAS_ex	chr11	533740	533979	240	1311	2462	1997.72
HRAS_ex_2	chr11	534190	534303	114	1019	1540	1351.96
MS4A3_ex	chr11	59828607	59828816	210	1060	2165	1748.36
MRGPRD_ex	chr11	68747893	68748040	148	1149	1715	1483.43
TPCN2_ex	chr11	68822653	68822798	146	667	938	828.267
MYEOV_ex	chr11	69063388	69063542	155	1760	2659	2336.96
CCND1_ex	chr11	69458601	69458742	142	1362	1974	1720.91
FGF3_ex	chr11	69631066	69631206	141	1291	1900	1672.08
NCAM1_ex	chr11	113102866	113103090	225	1087	2221	1798.45
NTM_ex	chr11	132081890	132082058	169	976	1875	1549.59
ABCC9_ex	chr12	22068669	22068839	171	1067	1836	1577.85
KRAS_ex	chr12	25378518	25378628	111	1361	1934	1751.85
KRAS_ex_2	chr12	25378668	25378736	69	1226	1719	1471.57
KRAS_ex_3	chr12	25380138	25380301	164	1136	1862	1633.88
KRAS_ex_4	chr12	25380308	25380385	78	900	1568	1284.81
KRAS_ex_5	chr12	25398223	25398302	80	517	607	566
IFLTD1_ex	chr12	25702298	25702436	139	1326	1914	1680.19
MDM2_ex	chr12	69233264	69233407	144	947	1285	1141.98
NAV3_ex	chr12	78400185	78400668	484	1348	2912	2314.82
NAV3_ex_2	chr12	78400730	78401224	495	1296	2753	2341.83
TUBA3C_ex	chr13	19748070	19748146	77	406	513	473.091
TPTE2_ex	chr13	20039425	20039497	73	780	933	872.301
MPHOSPH8_ex	chr13	20240560	20240714	155	1030	1619	1410.57
PSPC1_ex	chr13	20346455	20346607	153	874	1343	1178.44
ZMYM5_ex	chr13	20412927	20413034	108	1213	1646	1506.13
RB1_ex	chr13	48878015	48878209	195	233	672	488.241
RB1_ex_2	chr13	48881385	48881558	174	1411	2149	1919.5
RB1_ex_3	chr13	48916700	48917022	323	1510	2447	2167.72
RB1_ex_4	chr13	48919190	48919357	168	1238	2082	1797.31
RB1_ex_5	chr13	48921900	48922036	137	914	1319	1155.98
RB1_ex_6	chr13	48923050	48923182	133	1030	1524	1326.39
RB1_ex_7	chr13	48934130	48934295	166	1226	1945	1706.83
RB1_ex_8	chr13	48936925	48937127	203	1315	2178	1841.76
RB1_ex_9	chr13	48938995	48939127	133	1085	1443	1302.59
RB1_ex_10	chr13	48941595	48941782	188	1258	1942	1711.21
RB1_ex_11	chr13	48942630	48942761	132	1517	2049	1844.19
RB1_ex_12	chr13	48947500	48947645	146	954	1368	1213.67
RB1_ex_13	chr13	48951030	48951209	180	1573	2477	2150.26
RB1_ex_14	chr13	48953715	48953810	96	672	1110	947.677
RB1_ex_15	chr13	48954170	48954235	66	221	623	393.909
RB1_ex_16	chr13	48954295	48954404	110	782	1315	1167.94
RB1_ex_17	chr13	48955375	48955626	252	1029	2281	1740.19
LPAR6_ex	chr13	48985970	48986111	142	1490	2274	2006.45
RB1_ex_18	chr13	49027105	49027282	178	999	1695	1460.31
RB1_ex_19	chr13	49030315	49030517	203	1152	1998	1712.97
RB1_ex_20	chr13	49033800	49034007	208	289	2079	1400.97
RB1_ex_21	chr13	49037835	49037984	150	810	1226	1084.47
RB1_ex_22	chr13	49039110	49039277	168	113	1770	986.28
RB1_ex_23	chr13	49039315	49039518	204	1686	2518	2217.49
RB1_ex_24	chr13	49047430	49047576	147	1177	1697	1492.46
RB1_ex_25	chr13	49050815	49050983	169	1909	2921	2578.77
RB1_ex_26	chr13	49051440	49051572	133	723	1126	990.143
RB1_ex_27	chr13	49054085	49054245	161	1027	1648	1415.53
KLHL1_ex	chr13	70681316	70681856	541	1234	2786	2248.7
SLITRK1_ex	chr13	84453597	84455634	2038	1483	3211	2785.32
LRFN5_ex	chr14	42355817	42357220	1404	1331	2988	2593.57
C14orf177_ex	chr14	99183471	99183646	176	1211	1931	1637.46
AKT1_ex	chr14	105246390	105246570	181	1559	2437	2142.21
MKRN3_ex	chr15	23810934	23812061	1128	1141	3139	2366.29
MKRN3_ex_2	chr15	23812104	23812496	393	1559	2798	2453.4
MAP2K1_ex	chr15	66727329	66727602	274	801	1552	1181.63
MAP2K1_ex_2	chr15	66729049	66729123	75	946	1445	1212.41
MAP2K1_ex_3	chr15	66729139	66729253	115	1041	1545	1370.31
MAP2K1_ex_4	chr15	66735574	66735650	77	780	1219	1017.58
MAP2K1_ex_5	chr15	66735664	66735738	75	1085	1366	1260.52
MAP2K1_ex_6	chr15	66737009	66737088	80	581	761	692.562
MAP2K1_ex_7	chr15	66774059	66774241	183	1015	1646	1416.5
MAP2K1_ex_8	chr15	66777294	66777550	257	1259	2708	2221.96
MAP2K1_ex_9	chr15	66779539	66779676	138	941	1457	1292.52
MAP2K1_ex_10	chr15	66781504	66781654	151	747	1285	1112.51
MAP2K1_ex_11	chr15	66781994	66782146	153	1116	1677	1483.99
MAP2K1_ex_12	chr15	66782804	66782984	181	1078	1794	1555.62
TP53_ex	chr17	7572889	7573037	149	1230	1978	1653.38
TP53_ex_2	chr17	7573894	7574051	158	782	1159	1007.72
TP53_ex_3	chr17	7576809	7576957	149	2015	2462	2279.22
TP53_ex_4	chr17	7576984	7577173	190	1113	2071	1749.86
TP53_ex_5	chr17	7577469	7577648	180	789	2071	1599.78
